"","Age","BMI","Diseases","value","protein_0","protein_1"
"1",1,0,"HEART",0,0,0
"2",2,0,"HEART",0,0,0
"3",3,0,"HEART",0,0,0
"4",4,0,"HEART",0,0,0
"5",5,0,"HEART",0,0,0
"6",1,1,"HEART",1,0,0
"7",2,1,"HEART",1,0,0
"8",3,1,"HEART",1,86,0
"9",4,1,"HEART",1,4,0
"10",5,1,"HEART",4,0,0
"11",1,2,"HEART",0,0,0
"12",2,2,"HEART",0,41,0
"13",3,2,"HEART",2,86,0
"14",4,2,"HEART",6,733,0
"15",5,2,"HEART",9,0,0
"16",1,3,"HEART",0,5,0
"17",2,3,"HEART",0,438,0
"18",3,3,"HEART",5,327,0
"19",4,3,"HEART",6,0,0
"20",5,3,"HEART",5,0,0
"21",1,4,"HEART",0,47,0
"22",2,4,"HEART",0,17,0
"23",3,4,"HEART",3,1,0
"24",4,4,"HEART",3,0,0
"25",5,4,"HEART",1,0,0
"26",1,0,"LUNG",0,0,0
"27",2,0,"LUNG",0,0,0
"28",3,0,"LUNG",0,0,0
"29",4,0,"LUNG",0,0,0
"30",5,0,"LUNG",2,0,0
"31",1,1,"LUNG",1,0,0
"32",2,1,"LUNG",1,0,0
"33",3,1,"LUNG",1,86,0
"34",4,1,"LUNG",2,5,0
"35",5,1,"LUNG",5,0,0
"36",1,2,"LUNG",1,0,0
"37",2,2,"LUNG",1,29,0
"38",3,2,"LUNG",2,338,0
"39",4,2,"LUNG",8,549,216
"40",5,2,"LUNG",9,0,0
"41",1,3,"LUNG",0,5,0
"42",2,3,"LUNG",6,349,2
"43",3,3,"LUNG",7,294,1
"44",4,3,"LUNG",6,0,0
"45",5,3,"LUNG",2,0,0
"46",1,4,"LUNG",3,0,0
"47",2,4,"LUNG",0,17,0
"48",3,4,"LUNG",3,0,0
"49",4,4,"LUNG",3,0,0
"50",5,4,"LUNG",1,0,0
"51",1,0,"KIDNEY",0,0,0
"52",2,0,"KIDNEY",0,0,0
"53",3,0,"KIDNEY",0,0,0
"54",4,0,"KIDNEY",0,0,0
"55",5,0,"KIDNEY",1,0,0
"56",1,1,"KIDNEY",0,0,0
"57",2,1,"KIDNEY",0,0,0
"58",3,1,"KIDNEY",1,159,0
"59",4,1,"KIDNEY",1,4,0
"60",5,1,"KIDNEY",4,0,0
"61",1,2,"KIDNEY",0,0,0
"62",2,2,"KIDNEY",1,28,0
"63",3,2,"KIDNEY",1,344,0
"64",4,2,"KIDNEY",6,657,0
"65",5,2,"KIDNEY",8,0,0
"66",1,3,"KIDNEY",0,5,0
"67",2,3,"KIDNEY",0,438,0
"68",3,3,"KIDNEY",2,354,0
"69",4,3,"KIDNEY",4,0,0
"70",5,3,"KIDNEY",6,0,0
"71",1,4,"KIDNEY",0,47,0
"72",2,4,"KIDNEY",0,17,0
"73",3,4,"KIDNEY",2,0,0
"74",4,4,"KIDNEY",3,0,0
"75",5,4,"KIDNEY",1,0,0
"76",1,0,"DIABETES",0,0,0
"77",2,0,"DIABETES",0,0,0
"78",3,0,"DIABETES",0,0,0
"79",4,0,"DIABETES",0,0,0
"80",5,0,"DIABETES",0,0,0
"81",1,1,"DIABETES",0,0,0
"82",2,1,"DIABETES",1,1,0
"83",3,1,"DIABETES",5,0,0
"84",4,1,"DIABETES",3,4,0
"85",5,1,"DIABETES",8,0,0
"86",1,2,"DIABETES",0,0,0
"87",2,2,"DIABETES",4,3,1
"88",3,2,"DIABETES",10,19,40
"89",4,2,"DIABETES",14,522,221
"90",5,2,"DIABETES",6,0,0
"91",1,3,"DIABETES",0,5,0
"92",2,3,"DIABETES",9,141,18
"93",3,3,"DIABETES",18,16,35
"94",4,3,"DIABETES",7,0,0
"95",5,3,"DIABETES",5,0,3
"96",1,4,"DIABETES",1,109,0
"97",2,4,"DIABETES",5,0,1
"98",3,4,"DIABETES",3,0,0
"99",4,4,"DIABETES",6,0,0
"100",5,4,"DIABETES",2,0,0
"101",1,0,"HTN",0,0,0
"102",2,0,"HTN",0,0,0
"103",3,0,"HTN",0,0,0
"104",4,0,"HTN",0,0,0
"105",5,0,"HTN",1,0,0
"106",1,1,"HTN",0,0,0
"107",2,1,"HTN",1,0,0
"108",3,1,"HTN",4,0,0
"109",4,1,"HTN",6,2,0
"110",5,1,"HTN",11,0,0
